__image_copy_start 0x81000000 f
_start 0x81000000 f
_undefined_instruction 0x81000020 f
_software_interrupt 0x81000024 f
_prefetch_abort 0x81000028 f
_data_abort 0x8100002c f
_not_used 0x81000030 f
_irq 0x81000034 f
_fiq 0x81000038 f
_pad 0x8100003c f
IRQ_STACK_START_IN 0x81000040 f
_end_vect 0x81000040 f
reset 0x81000044 f
c_runtime_cpu_setup 0x81000084 f
save_boot_params 0x8100009c l
cpu_init_cp15 0x810000a0 f
cpu_init_crit 0x81000108 f
undefined_instruction 0x81000120 f
software_interrupt 0x81000180 f
prefetch_abort 0x810001e0 f
data_abort 0x81000240 f
not_used 0x810002a0 f
irq 0x81000300 f
fiq 0x81000360 f
lowlevel_init 0x810003c0 f
v7_maint_dcache_all 0x810003e4 f
v7_dcache_inval_range 0x810004b8 f
invalidate_icache_all 0x81000538 f
__v7_outer_cache_enable 0x81000550 f
v7_outer_cache_enable 0x81000550 l
__v7_outer_cache_disable 0x81000554 f
v7_outer_cache_disable 0x81000554 l
__v7_outer_cache_flush_all 0x81000558 f
v7_outer_cache_flush_all 0x81000558 l
flush_dcache_all 0x8100055c f
__v7_outer_cache_inval_all 0x81000570 f
v7_outer_cache_inval_all 0x81000570 l
invalidate_dcache_all 0x81000574 f
arm_init_before_mmu 0x81000588 f
__v7_outer_cache_flush_range 0x810005b0 f
v7_outer_cache_flush_range 0x810005b0 l
flush_dcache_range 0x810005b4 f
mmu_page_table_flush 0x810005f0 f
flush_cache 0x81000614 f
__v7_outer_cache_inval_range 0x8100061c f
v7_outer_cache_inval_range 0x8100061c l
invalidate_dcache_range 0x81000620 f
cpu_cache_initialization 0x8100065c l
cleanup_before_linux 0x81000660 f
read_cpu_temperature 0x81000688 f
get_cpu_rev 0x81000864 f
init_aips 0x810008d8 f
check_cpu_temperature 0x81000934 f
arch_cpu_init 0x8100099c f
board_postclk_init 0x81000a84 f
enable_caches 0x81000aec f
s_init 0x81000b20 f
check_ldo_bypass 0x81000ba4 f
prep_anatop_bypass 0x81000c20 f
set_wdog_reset 0x81000c98 f
set_anatop_bypass 0x81000cb0 f
finish_anatop_bypass 0x81000d04 f
get_ipg_clk 0x81000d2c f
get_ipg_per_clk 0x81000d54 f
decode_pll.part.0 0x81000d90 f
get_mcu_main_clk 0x81000dc0 f
get_cspi_clk 0x81000e00 f
get_uart_clk 0x81000e48 f
mxc_get_pll_pfd 0x81000e9c f
get_usdhc_clk 0x81000f54 f
get_mmdc_ch0_clk 0x81000fe4 f
enable_ocotp_clk 0x81001074 f
enable_i2c_clk 0x81001098 f
get_periph_clk 0x810010e0 f
get_axi_clk 0x81001198 f
get_emi_slow_clk 0x810011e4 f
do_mx6_showclocks 0x81001264 f
imx_get_uartclk 0x81001488 f
mxc_get_clock 0x8100148c f
imx_iomux_v3_setup_pad 0x8100152c f
timer_init 0x810015d0 f
get_ticks 0x810016dc f
get_timer_masked 0x81001720 f
get_timer 0x81001800 f
__udelay 0x81001814 f
get_tbclk 0x81001924 f
get_reset_cause 0x810019a8 f
get_imx_type 0x81001a64 f
print_cpuinfo 0x81001a84 f
cpu_mmc_init 0x81001af8 f
get_ahb_clk 0x81001afc f
arch_preboot_os 0x81001b20 f
get_clocks 0x81001b30 f
force_idle_bus 0x81001b4c f
setup_i2c 0x81001d10 f
_main 0x81001d6c f
here 0x81001dac f
clbss_l 0x81001dbc f
relocate_code 0x81001df0 f
copy_loop 0x81001e00 f
fixloop 0x81001e18 f
fixnext 0x81001e38 f
relocate_done 0x81001e40 f
arch_fixup_memory_node 0x81001e54 f
boot_jump_linux 0x81001e8c f
arch_lmb_reserve 0x81001f44 f
setup_board_tags 0x81001f68 l
boot_prep_linux 0x81001f6c f
do_bootm_linux 0x81002134 f
bootz_setup 0x81002194 f
boot_prep_vxworks 0x810021f4 f
boot_jump_vxworks 0x81002240 f
interrupt_init 0x81002254 f
enable_interrupts 0x81002270 f
disable_interrupts 0x81002274 f
bad_mode 0x8100227c f
show_regs 0x8100228c f
do_undefined_instruction 0x810023c8 f
do_software_interrupt 0x810023e8 f
do_prefetch_abort 0x81002408 f
do_data_abort 0x81002428 f
do_not_used 0x81002448 f
do_fiq 0x81002468 f
do_irq 0x81002488 f
do_reset 0x810024a8 f
cp_delay 0x810024d4 f
arm_init_domains 0x81002504 l
set_section_dcache 0x81002508 f
mmu_set_region_dcache_behaviour 0x8100251c f
dram_bank_mmu_setup 0x8100256c l
icache_enable 0x810025ac f
icache_disable 0x810025c4 f
icache_status 0x810025e0 f
dcache_enable 0x810025ec f
dcache_disable 0x81002658 f
dcache_status 0x81002680 f
get_board_type 0x8100268c f
dram_init 0x810026e8 f
mmc_get_env_devno 0x8100273c f
board_mmc_getcd 0x8100275c f
setup_waveform_file 0x8100279c f
ldo_mode_set 0x81002824 f
board_early_init_f 0x810029d8 f
setup_board_info 0x810029e8 f
board_mmc_init 0x81002a98 f
get_board_serial 0x81002b34 f
is_platform_board 0x81002b3c f
board_init 0x81002b4c f
setup_touch_pin 0x81002f38 f
disable_pm_epd 0x81002f74 f
board_late_init 0x81002f94 f
get_board_rev 0x81003130 f
checkboard 0x81003134 f
setup_iomux_uart1 0x810031cc f
setup_iomux_uart3 0x810031fc f
setup_iomux_uart4 0x81003254 f
setup_iomux_usdhc1 0x81003284 f
setup_iomux_usdhc2 0x810032f4 f
setup_iomux_usdhc3 0x810033b4 f
setup_iomux_gpio1 0x81003420 f
setup_iomux_gpio2 0x8100353c f
setup_iomux_gpio3 0x810036ac f
setup_iomux_gpio4 0x810037b0 f
setup_iomux_gpio5 0x8100389c f
setup_iomux_wdog 0x810038c8 f
setup_iomux_aud 0x810038dc f
setup_iomux_epdc 0x81003928 f
setup_iomux 0x81003a2c f
board_pmic_write_reg 0x81003a5c f
board_pmic_read_reg 0x81003ae0 f
board_pmic_write_verify_reg 0x81003b64 f
board_pmic_init 0x81003be8 f
board_pmic_get_aboot_mode 0x81003cd4 f
delete_char.part.0 0x81003d54 f
cread_add_char 0x81003e24 f
__show_boot_progress 0x81003f0c f
show_boot_progress 0x81003f0c l
readline_into_buffer 0x81003f10 f
readline 0x810048d0 f
run_command 0x810048e4 f
run_command_list 0x810048ec f
main_loop 0x81004948 f
do_run 0x81004ac4 f
find_cmd_tbl 0x81004b38 f
find_cmd 0x81004bdc f
cmd_usage 0x81004c04 f
_do_help 0x81004c60 f
var_complete 0x81004de4 f
cmd_auto_complete 0x81004e64 f
cmd_get_data_size 0x81005340 f
cmd_process 0x8100539c f
dummy 0x81005484 f
get_version 0x81005488 f
jumptable_init 0x81005490 f
hash_command 0x81005630 f
b_reset 0x810056d0 f
static_get 0x810056ec f
static_peek 0x81005708 f
file_peek 0x81005714 f
mapset 0x81005720 f
syntax_err 0x81005740 f
free_pipe_list 0x8100574c f
xmalloc 0x8100583c f
new_pipe 0x8100585c f
xrealloc 0x81005884 f
done_command 0x810058a4 f
done_pipe 0x81005930 f
